julkaisu_pvm;tuotenimi;malli;tekniset_arvot;tuote_paaryhma_nimi;nimike;viivakoodi;vaaranlaji;tapaus_tulos;tapausnumero;tapauksen_kuvat;muut_tiedot;vastuutaho;asiakirjat;puutteet;paatos
23.04.2008;Zhejiang Tiantian Electric;564550/H05RN-F;;Asennustarvikkeet, kaapelit, komponentit;Jatkojohto;;Sähköisku;Myyntikielto;YNS-20071120-04;http://marek.tukes.fi/Tuote.aspx?kuvaid=466,http://marek.tukes.fi/Tuote.aspx?kuvaid=467,http://marek.tukes.fi/Tuote.aspx?kuvaid=468;Maahantuojaa on kehotettu poistamaan tuote kaikkialta myynnistä.Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastainen) palauttaa ostopaikkaan jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa vastaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Jysk Oy Riihimäki ,Vähittäismyyjä,Merkoksenkatu 5,11710,RIIHIMÄKI;;Taivutustestissä kaapelia kierrettäessä kokonaisena halkaisijaltaan 32 mm tuurnalle -35±2 °C lämpötilassa, siihen tulee runsaasti halkeamia sekä vaippaan että eristykseen siten että johtimien säikeet tulevat kosketeltaviksi. Lisäksi koekappaleet katkesivat niitä kierrettäessä tuurnalle. Kaapelin pitää kestää taivutuskoe ilman halkeamia.Ei välittömästi vaarallinen mutta turvallisuustaso on alhainen. Ei tietoa onnettomuuksista.;Tukesin hallinnollinen päätös
23.04.2008;Speed Link;SL-4754;;Verkkoliitäntäkojeet ja lataus;Verkkoliitäntäkoje;;Palo,Sähköisku;Myyntikielto;PER-20070813-02;http://marek.tukes.fi/Tuote.aspx?kuvaid=571,http://marek.tukes.fi/Tuote.aspx?kuvaid=572;Maahantuojaa on kehotettu poistamaan tuote kaikkialta myynnistä.Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastainen) palauttaa ostopaikkaan jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa vastaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Expert Asa Oy Expert Riihimäki,Vähittäismyyjä,Tehtaankatu 1,11710,RIIHIMÄKI;;Ilma- ja pintävälipuutteita. Kotelon materiaali ei täytä tulenkestoisuustestiä.Ei välittömästi vaarallinen mutta turvallisuustaso on alhainen. Ei tietoa onnettomuuksista.;Tukesin hallinnollinen päätös
23.04.2008;Shining Blick/Esvi;B37-7B2-9;;Valaisimet ja valaisintarvikkeet;Valoletku;;Sähköisku;Myyntikielto;YNS-20071119-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=1347,http://marek.tukes.fi/Tuote.aspx?kuvaid=1348,http://marek.tukes.fi/Tuote.aspx?kuvaid=1349;Maahantuojaa on kehotettu poistamaan tuote kaikkialta myynnistä.Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastainen) palauttaa ostopaikkaan jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa vastaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Airam Electric Oy Ab ,Maahantuoja,Sementtitehtaankatu 6,04260,KERAVA;;Taivutustestissä kaapelia kierrettäessä kokonaisena halkaisijaltaan 32 mm tuurnalle -35±2 °C lämpötilassa, siihen tulee runsaasti halkeamia sekä vaippaan että eristykseen siten että johtimien säikeet tulevat kosketeltaviksi. Kaapelin pitää kestää taivutuskoe ilman halkeamia. Ei välittömästi vaarallinen mutta turvallisuustaso on alhainen. Ei tietoa onnettomuuksista.;Tukesin hallinnollinen päätös
23.04.2008;MicroOne;DVD-800;;Viihde-elektroniikka;Laserlevysoitin;;Sähköisku;Palauttamismenettely;PER-20071106-03;http://marek.tukes.fi/Tuote.aspx?kuvaid=782,http://marek.tukes.fi/Tuote.aspx?kuvaid=783;Maahantuojaa on kehotettu keräämään tämä tuote pois myynnista ja myös käyttäjiltä (palauttamismenettely).Poista tuote välittömästi käytöstä.Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastainen) palauttaa ostopaikkaan jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa vastaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Ale-Makasiini Matti Riikonen Oy Viitasaari,Vähittäismyyjä,Kauppakaari 4,44500,VIITASAARI;;Verkkomuuntajassa verkkojännitteinen ensiökäämi koskettaa toisiokäämiä ja toisiopiiri on kosketeltavissa ulostuloliittimien kautta.Turvallisuustaso on erittäin alahainen. Palauttamismenettely on onnettomuuden ennaltaehkäisytoimenpide. Ei tietoa onnettomuuksista.;Tukesin hallinnollinen päätös
23.04.2008;a/s shaver power cord coiled;18163/6-0040;;Asennustarvikkeet, kaapelit, komponentit;Parranajokoneen kojeliitosjohto;;Sähköisku;Myyntikielto;YNS-20070323-03;http://marek.tukes.fi/Tuote.aspx?kuvaid=814,http://marek.tukes.fi/Tuote.aspx?kuvaid=815;Maahantuojaa on kehotettu poistamaan tuote kaikkialta myynnistä.Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastainen) palauttaa ostopaikkaan jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa vastaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Hong Kong Kerava ,Vähittäismyyjä,Alikeravantie 34,04250,KERAVA;;Kojepistokkeessa useita mitoituspuutteita, jotka saattavat vaarantaa turvallisuuden. Pistotulpan kosketintapit kääntyvät liian herkästi. Ei välittömästi vaarallinen mutta turvallisuustaso on alhainen. Ei tietoa onnettomuuksista.;Tukesin hallinnollinen päätös
23.04.2008;6 410411 852466;6 410411 852466 (185246);;Valaisimet ja valaisintarvikkeet;Pöytävalaisin;;Palo,Sähköisku;Myyntikielto;YNS-20070903-03;http://marek.tukes.fi/Tuote.aspx?kuvaid=916,http://marek.tukes.fi/Tuote.aspx?kuvaid=917;Maahantuojaa on kehotettu poistamaan tuote kaikkialta myynnistä.Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa vastaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Masku Kalustetalo Oy MASKU KODIN SÄÄSTÖTALO,Vähittäismyyjä,Maskuntie 224,21250,MASKU;;Valaisimesta puuttuu kaikki merkinnät, (erillisellä lapulla EAN koodi 6410411852466)Valaisin ei täytä 230 V rakenteelle asetettuja vaatimuksia. Mikäli siihen laitetaan 12 V lamppu, se saattaa räjähtää (yleensä kyseisellä lampunpitimellä varustetut valaisimet on tarkoitettu 12 V lampuille). 230 V jännitteiset lampun koskettimet ovat kosketeltavissa lampun vaihdon yhteydessä.Ei välittömästi vaarallinen, mutta turvallisuustaso on erittäin alhainen. Ei tietoa onnettomuuksista.;Tukesin hallinnollinen päätös
23.04.2008;Airam;Pro 40 jatkettava;;Valaisimet ja valaisintarvikkeet;Lamppusarja;;Sähköisku;Myyntikielto;YNS-20071030-03;http://marek.tukes.fi/Tuote.aspx?kuvaid=1338,http://marek.tukes.fi/Tuote.aspx?kuvaid=1339;Maahantuojaa on kehotettu poistamaan tuote kaikkialta myynnistä.Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastainen) palauttaa ostopaikkaan jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa vastaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Airam Electric Oy Ab ,Maahantuoja,Sementtitehtaankatu 6,04260,KERAVA;;Kaapeli H03RN-F 1X0,5mm²:Taivutustestissä kaapelia kierrettäessä kokonaisena halkaisijaltaan 14 mm tuurnalle -35±2 °C lämpötilassa, siihen tulee runsaasti halkeamia sekä vaippaan että eristykseen siten että johtimien säikeet tulevit kosketeltaviksi. Kaapelin pitää kestää taivutuskoe ilman halkeamiaEi välittömästi vaarallinen mutta turvallisuustaso on alhainen. Ei tietoa onnettomuuksista.;Tukesin hallinnollinen päätös
23.04.2008;Sumec;SPG1200;;Sähkötyökalut;Moottorigeneraattori;;Sähköisku;Myyntikielto;YNS-20071126-03;http://marek.tukes.fi/Tuote.aspx?kuvaid=589,http://marek.tukes.fi/Tuote.aspx?kuvaid=590,http://marek.tukes.fi/Tuote.aspx?kuvaid=591;Maahantuojaa on kehotettu poistamaan tuote kaikkialta myynnistä.Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastainen) palauttaa ostopaikkaan jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa vastaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Ristiinan Ammattirealisointi Oy ,Vähittäismyyjä,Mäntyharjuntie 5,52300,RISTIINA;;Polttoainesäiliön alla olevat 230 V piirin peruseristetyt johtimet ja liitin ovat koestussormella kosketeltavissa. Tuote ei täytä kotelointiluokka IP X3 vaatimuksia.Ei välittömästi vaarallinen mutta turvallisuustaso on alhainen. Ei tietoa onnettomuuksista.;Tukesin hallinnollinen päätös
23.04.2008;KF (Energy+);KF-B-03P;;Asennustarvikkeet, kaapelit, komponentit;Jatkojohto;;Palo,Sähköisku;Myyntikielto;SOM-20070312-02;http://marek.tukes.fi/Tuote.aspx?kuvaid=862,http://marek.tukes.fi/Tuote.aspx?kuvaid=863,http://marek.tukes.fi/Tuote.aspx?kuvaid=864;Maahantuojaa on kehotettu poistamaan tuote kaikkialta myynnistä.Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastainen) palauttaa ostopaikkaan jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa vastaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Tarjoustalo Petikko ,Vähittäismyyjä,Klinkkerikaari 2,01720,VANTAA;;Mekaanisen lujuuden iskutestissä yhteen koekappaleeseen tuli hakeamia ja yksi pala irtosi, jonka jälkeen tuotteen kotelointiluokitus ei enää täyty. Yhdessä koekappaleessa ruskean johtimen pistehitsausliitos ei ole kiinni virtakiskossa. Johdin on ainoastaan puristuksissa virtakiskon ja sen muovisen kannakeosan välissä.Ei välittömästi vaarallinen mutta turvallisuustaso on alhainen. Ei tietoa onnettomuuksista.;Tukesin hallinnollinen päätös
10.04.2008;Rokomera Tukku Oy;6 438098 069021;;Asennustarvikkeet, kaapelit, komponentit;Jatkojohto;;Sähköisku;Myyntikielto;PER-20071109-05;http://marek.tukes.fi/Tuote.aspx?kuvaid=799,http://marek.tukes.fi/Tuote.aspx?kuvaid=800;Maahantuojaa on kehotettu poistamaan tuote kaikkialta myynnistä.Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastainen) palauttaa ostopaikkaan jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa vastaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Kuljun Kartano (Löytötavaratalo Oy),Vähittäismyyjä,Tampereentie 272,37560,LEMPÄÄLÄ;;Pistorasioiden suojakosketinpaineet puutteelliset. Kaapelin johdineristeet puutteelliset.Ei välittömästi vaarallinen, mutta turvallisuustaso on erittäin alhainen.  Ei tietoa onnettomuuksista.;Tukesin hallinnollinen päätös
10.04.2008;Ningbo Linsheng (Opal);E199017 / LA018D/LA017D (punainen);;Asennustarvikkeet, kaapelit, komponentit;Jatkojohto;;Sähköisku;Myyntikielto;PER-20080109-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=834,http://marek.tukes.fi/Tuote.aspx?kuvaid=835,http://marek.tukes.fi/Tuote.aspx?kuvaid=836;Maahantuojaa on kehotettu poistamaan tuote kaikkialta myynnistä.Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastainen) palauttaa ostopaikkaan jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa vastaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Onninen Oy ,Jakelija,Mittalinja 1,01260,VANTAA;;Päätös koskee tuotteita, Opal, E199017, EAN 6 413821 990179, jotka varustettu kaapelilla: H05RR-F, väri: punainen, kaapelin valmistaja Ningbo Linsheng Electric Co, merkintä kaapelin vaipassa.Taivutustestissä kaapelia kierrettäessä kokonaisena halkaisijaltaan 40 mm tuurnalle -35±2 °C lämpötilassa, siihen tulee runsaasti halkeamia sekä vaippaan että eristykseen siten että johtimien säikeet tulevat kosketeltaviksi. Kaapelin pitää kestää taivutuskoe ilman halkeamia. Ei välittömästi vaarallinen, mutta turvallisuustaso on erittäin alhainen. Ei tietoa onnettomuuksista.;Tukesin hallinnollinen päätös
10.04.2008;Denver MT748DVBT MPEG4;E-AWB135-090E;;Verkkoliitäntäkojeet ja lataus;Verkkoliitäntäkoje, DVD;;Sähkömagneettinen yhteensopimattomuus;Myyntikielto;PER-20071213-03;http://marek.tukes.fi/Tuote.aspx?kuvaid=666,http://marek.tukes.fi/Tuote.aspx?kuvaid=667,http://marek.tukes.fi/Tuote.aspx?kuvaid=668;Maahantuojaa on kehotettu poistamaan tuote kaikkialta myynnistä.Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastainen) palauttaa ostopaikkaan jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa vastaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Maxi-Makasiini Kiuruvesi ,Vähittäismyyjä,Tulotie 10,74700,KIURUVESI;;Tuote saattaa aiheuttaa radiohäiriöitä.;Tukesin hallinnollinen päätös
10.04.2008;Etman (Opal);ETM212S-1 (E199005);;Asennustarvikkeet, kaapelit, komponentit;Jatkojohto;;Sähköisku;Myyntikielto;PER-20080108-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=825,http://marek.tukes.fi/Tuote.aspx?kuvaid=826;Maahantuojaa on kehotettu poistamaan tuote kaikkialta myynnistä.Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastainen) palauttaa ostopaikkaan jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa vastaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;;;HUOM. Päätös koskee tuotteita, Opal, E199005, EAN 6 413821 990056, jotka varustettu kaapelilla: H05RR-F, kaapelin valmistaja Jiangsu ETM Electrical, merkintä kaapelin vaipassa.Taivutustestissä kaapelia kierrettäessä kokonaisena halkaisijaltaan 40 mm tuurnalle -35±2 °C lämpötilassa, siihen tulee runsaasti halkeamia sekä vaippaan että eristykseen siten että johtimien säikeet tulevat kosketeltaviksi. Kaapelin pitää kestää taivutuskoe ilman halkeamia. Ei välittömästi vaarallinen, mutta turvallisuustaso on erittäin alhainen. Ei tietoa onnettomuuksista.;Tukesin hallinnollinen päätös
10.04.2008;Biltema  40-410;EMV2001;;Kotitalouslaitteet;Auton sisätilanlämmitin;;Sähköisku;Palauttamismenettely;PER-20071220-03;http://marek.tukes.fi/Tuote.aspx?kuvaid=807,http://marek.tukes.fi/Tuote.aspx?kuvaid=808,http://marek.tukes.fi/Tuote.aspx?kuvaid=809;Maahantuojaa on kehotettu keräämään tämä tuote pois myynnista ja myös käyttäjiltä (palauttamismenettely).Poista tuote välittömästi käytöstä.Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastainen) palauttaa ostopaikkaan jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa vastaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Biltema Suomi Oy ,Maahantuoja,Iltaruskontie 2,00750,HELSINGFORS;;HUOM. Päätös koskee tuotetta kaapelilla: H05RN-F 3G1,0,  Wonderful Wire & Cable Co.Taivutustestissä kaapelia kierrettäessä kokonaisena halkaisijaltaan 32 mm tuurnalle -35±2 °C lämpötilassa, vaippaan tulee runsaasti halkeamia siten että se putoaa osittain pois. Lisäksi eristykseen tulee muutamia halkeamia siten että johtimien säikeet tulevat kosketeltaviksi. Kaapelin pitää kestää taivutuskoe ilman halkeamia. Ei välittömästi vaarallinen, mutta turvallisuustaso on erittäin alhainen. Ei tietoa onnettomuuksista.;Tukesin hallinnollinen päätös
10.04.2008;Rokomera Tukku Oy;6 438098 069045;;Asennustarvikkeet, kaapelit, komponentit;Jatkojohto;;Sähköisku;Myyntikielto;PER-20071217-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=804,http://marek.tukes.fi/Tuote.aspx?kuvaid=805,http://marek.tukes.fi/Tuote.aspx?kuvaid=806;Maahantuojaa on kehotettu poistamaan tuote kaikkialta myynnistä.Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastainen) palauttaa ostopaikkaan jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa vastaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Rokomera Tukku Oy ,Maahantuoja,Riihimäenkatu 55,05880,HYVINKÄÄ;;Jatkopistorasioiden suojakoskettimien kosketinpaine on liian pieni. Jatkojohdon kaapelin kelta-vihreän johtimen eristys oli kokonaan keltainen, kun toisen värin osuus pitää olla vähintään 30 %. Myös johtimien eristysten paksuuksissa sekä kaapelin vaipan paksuuksissa alituksia.  Ei välittömästi vaarallinen, mutta turvallisuustaso on erittäin alhainen.Ei tietoa onnettomuuksista.;Tukesin hallinnollinen päätös
10.04.2008;AD;57870099/94.1153;;Kotitalouslaitteet;Auton sisätilanlämmitin;;Sähköisku;Myyntikielto;PER-20071010-04;http://marek.tukes.fi/Tuote.aspx?kuvaid=761,http://marek.tukes.fi/Tuote.aspx?kuvaid=762,http://marek.tukes.fi/Tuote.aspx?kuvaid=763;Maahantuojaa on kehotettu poistamaan tuote kaikkialta myynnistä.Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastainen) palauttaa ostopaikkaan jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa vastaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Motoral Oy ,Maahantuoja,Valuraudankuja 1,00700,HELSINKI;;HUOM! Päätös koskee vain niitä lämmittimiä, jotka on varustettu liitäntäjohdolla H05RR-F, Wonderful Wire & Cable Co.Taivutustestissä kaapelia kierrettäessä kokonaisena halkaisijaltaan 32 mm tuurnalle -35±2 °C lämpötilassa, siihen tulee runsaasti halkeamia sekä vaippaan että eristykseen siten että johtimien säikeet tulevat kosketeltaviksi. Kaapelin pitää kestää taivutuskoe ilman halkeamia. Ei välittömästi vaarallinen, mutta turvallisuustaso on erittäin alhainen. Ei tietoa onnettomuuksista.;Tukesin hallinnollinen päätös
10.04.2008;125 DLG AUTO & HUIS SET;SS-1800;;Sähkötyökalut;Jännitteenkoetin;;Sähköisku;Myyntikielto;PER-20071128-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=695,http://marek.tukes.fi/Tuote.aspx?kuvaid=696,http://marek.tukes.fi/Tuote.aspx?kuvaid=697;Maahantuojaa on kehotettu poistamaan tuote kaikkialta myynnistä.Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastainen) palauttaa ostopaikkaan jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa vastaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Talousmarkka Oy Rauma ,Vähittäismyyjä,Kairakatu 2,26100,RAUMA;;Ilmaisu ei ole luotettava. Hohtolampussa on havaittavissa valoa vasta 170 V:lla. Standardin mukaan ilmaisun tulisi tapahtua jo 0,85-kertaisella nimellisjännitealueen alimmalla jännitteellä ts. 93,5 V:lla.Ei välittömästi vaarallinen, mutta turvallisuustaso on erittäin alhainen. Ei tietoa onnettomuuksista.;Tukesin hallinnollinen päätös
10.04.2008;Eligent Heaters;94.1153;;Kotitalouslaitteet;Auton sisätilanlämmitin;;Sähköisku;Myyntikielto;YNS-20080122-02;http://marek.tukes.fi/Tuote.aspx?kuvaid=1362,http://marek.tukes.fi/Tuote.aspx?kuvaid=1363,http://marek.tukes.fi/Tuote.aspx?kuvaid=1364;Maahantuojaa on kehotettu poistamaan tuote kaikkialta myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastainen) palauttaa ostopaikkaan jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa vastaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Euromarket Loimaa ,Vähittäismyyjä,Hossinkatu 1-3,32200,LOIMAA;;HUOM! Päätös koskee vain niitä lämmittimiä, jotka on varustettu liitäntäjohdolla H05RR-F, Wonderful Wire & Cable Co.Taivutustestissä kaapelia kierrettäessä kokonaisena halkaisijaltaan 32 mm tuurnalle -35±2 °C lämpötilassa, siihen tulee runsaasti halkeamia sekä vaippaan että eristykseen siten että johtimien säikeet tulevat kosketeltaviksi. Kaapelin pitää kestää taivutuskoe ilman halkeamia. Ei välittömästi vaarallinen, mutta turvallisuustaso on erittäin alhainen. Ei tietoa onnettomuuksista.;Tukesin hallinnollinen päätös
10.04.2008;Orange;AD30TC;;Orkesteri- ja estradilaitteet;Orkesterivahvistin;;Sähköisku;Myyntikielto;PER-20071010-06;http://marek.tukes.fi/Tuote.aspx?kuvaid=764,http://marek.tukes.fi/Tuote.aspx?kuvaid=765,http://marek.tukes.fi/Tuote.aspx?kuvaid=766;Maahantuojaa on kehotettu poistamaan tuote kaikkialta myynnistä.Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastainen) palauttaa ostopaikkaan jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa vastaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Pori Sound City Oy ,Vähittäismyyjä,Antinkatu 12,28100,PORI;;Verkkomuuntajassa käämit ovat käämitty saman keskeisesti ja käämitty käämikotelon reunoihin asti. Pinta- ja ilmavälit verkkomuuntajassa ensiökäämeistä toisiokäämiin ovat alle sallitun. Verkkomuuntajassa on merkinnät: Demeter Windings Tel: 01245 344544. Part No. M4643 FEB 2007.Ei välittömästi vaarallinen, mutta turvallisuustaso on erittäin alhainen. Ei tietoa onnettomuuksista.;Tukesin hallinnollinen päätös
10.04.2008;LUX CABLE;DAA0334/H05RR-F;;Asennustarvikkeet, kaapelit, komponentit;Jatkojohto;;Sähköisku;Myyntikielto;YNS-20071120-02;http://marek.tukes.fi/Tuote.aspx?kuvaid=463,http://marek.tukes.fi/Tuote.aspx?kuvaid=464,http://marek.tukes.fi/Tuote.aspx?kuvaid=465;Maahantuojaa on kehotettu poistamaan tuote kaikkialta myynnistä.Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastainen) palauttaa ostopaikkaan jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa vastaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Veljekset Keskinen Oy ,Maahantuoja,Onnentie 7,63610,TUURI;;Kaapeli: H05RR-F, valmistaja:  Zhejiang Shuangyang Group.Taivutustestissä kaapelia kierrettäessä kokonaisena halkaisijaltaan 40 mm tuurnalle -35±2 °C lämpötilassa, vaippaan tulee runsaasti halkeamia siten että se putoaa lähes kokonaan pois. Eristys säilyy ehjänä. Kaapelin pitää kestää taivutuskoe ilman halkeamia. Ei välittömästi vaarallinen mutta turvallisuustaso on alhainen. Ei tietoa onnettomuuksista.;Tukesin hallinnollinen päätös
10.04.2008;BAT (brennenstuhl);1 16214 0;;Asennustarvikkeet, kaapelit, komponentit;Jatkojohto;;Sähköisku;Myyntikielto;PER-20071210-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=801,http://marek.tukes.fi/Tuote.aspx?kuvaid=802,http://marek.tukes.fi/Tuote.aspx?kuvaid=803;Maahantuojaa on kehotettu poistamaan tuote kaikkialta myynnistä.Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastainen) palauttaa ostopaikkaan jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa vastaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Isojoen Konehalli Oy ,Maahantuoja,Keskustie 26,61850,KAUHAJOKI AS;;Taivutustestissä kaapelia kierrettäessä kokonaisena halkaisijaltaan 40 mm tuurnalle  -35±2 °C lämpötilassa, siihen tulee runsaasti halkeamia sekä vaippaan että eristykseen siten, että johtimien säikeet tulevat kosketeltaviksi. Kaapelin pitää kestää taivutuskoe ilman halkeamia. Ei välittömästi vaarallinen, mutta turvallisuustaso on erittäin alhainen. Ei tietoa onnettomuuksista.;Tukesin hallinnollinen päätös
